sample,x,y,r
982,106,83,NA
983,105,83,NA
984,106,83,NA
985,105,83,NA
986,106,83,NA
987,105,83,NA
988,106,83,NA
989,105,83,NA
990,106,83,NA
991,105,83,NA
992,106,83,NA
993,105,83,NA
994,106,83,NA
995,105,83,NA
996,106,83,NA
997,105,83,NA
998,106,83,NA
999,105,83,NA
1000,106,83,NA
1001,105,83,NA
1002,106,83,NA
1003,105,83,NA
1004,106,83,NA
1005,105,83,NA
1006,106,83,NA
1007,105,83,NA
1008,106,83,NA
1009,105,83,NA
1010,106,83,NA
1011,105,83,NA
1012,106,83,NA
1013,105,83,NA
1014,106,83,NA
1015,105,83,NA
1016,106,83,NA
1017,105,83,NA
1018,106,83,NA
1019,105,83,NA
1020,106,83,NA
1021,105,83,NA
1022,106,83,NA
1023,105,83,NA
1024,106,83,NA
1025,105,83,NA
1026,106,83,NA
1027,105,83,NA
1028,106,83,NA
1029,105,83,NA
1030,106,83,NA
1031,101,83,NA
1032,100,83,NA
1033,99,83,NA
1034,100,83,NA
1035,99,83,NA
1036,100,85,NA
1037,99,83,NA
1038,100,85,NA
1039,99,83,NA
1040,100,85,NA
1041,99,83,NA
1042,100,85,NA
1043,99,83,NA
1044,98,85,NA
1045,97,83,NA
1046,100,85,NA
1047,99,83,NA
1048,98,85,NA
1049,97,83,NA
1050,98,85,NA
1051,0,0,NA
1052,97,83,NA
1053,0,0,NA
1054,0,0,NA
1055,0,0,NA
1056,0,0,NA
1057,0,0,NA
1058,0,0,NA
1059,0,0,NA
1060,0,0,NA
1061,0,0,NA
1062,0,0,NA
1063,0,0,NA
1064,98,85,NA
1065,97,81,NA
1066,98,81,NA
1067,97,81,NA
1068,98,81,NA
1069,97,83,NA
1070,0,0,NA
1071,0,0,NA
1072,0,0,NA
1073,0,0,NA
1074,0,0,NA
1075,0,0,NA
1076,0,0,NA
1077,0,0,NA
1078,98,85,NA
1079,97,81,NA
1080,98,81,NA
1081,97,81,NA
1082,98,81,NA
1083,97,81,NA
1084,98,81,NA
1085,97,81,NA
1086,98,81,NA
1087,97,81,NA
1088,98,81,NA
1089,97,81,NA
1090,98,81,NA
1091,97,81,NA
1092,98,81,NA
1093,97,81,NA
1094,98,81,NA
1095,97,81,NA
1096,98,81,NA
1097,97,81,NA
1098,98,81,NA
1099,97,81,NA
1100,98,81,NA
1101,97,81,NA
1102,98,81,NA
1103,97,81,NA
1104,98,81,NA
1105,97,81,NA
1106,98,81,NA
1107,97,81,NA
1108,98,81,NA
1109,97,81,NA
1110,98,81,NA
1111,97,81,NA
1112,98,81,NA
1113,97,81,NA
1114,98,81,NA
1115,97,81,NA
1116,98,81,NA
1117,97,81,NA
1118,98,81,NA
1119,97,81,NA
1120,98,81,NA
1121,97,81,NA
1122,98,81,NA
1123,97,81,NA
1124,98,81,NA
1125,97,81,NA
1126,98,81,NA
1127,97,81,NA
1128,98,81,NA
1129,97,81,NA
1130,98,81,NA
1131,97,81,NA
1132,98,81,NA
1133,97,81,NA
1134,98,81,NA
1135,97,81,NA
1136,98,81,NA
1137,97,81,NA
1138,98,81,NA
1139,97,81,NA
1140,98,81,NA
1141,97,81,NA
1142,98,81,NA
1143,97,81,NA
1144,98,81,NA
1145,97,81,NA
1146,98,81,NA
1147,0,0,NA
1148,95,81,NA
1149,0,0,NA
1150,0,0,NA
1151,0,0,NA
1152,0,0,NA
1153,0,0,NA
1154,0,0,NA
1155,96,83,NA
1156,97,83,NA
1157,98,83,NA
1158,97,81,NA
1159,0,0,NA
1160,98,81,NA
1161,97,81,NA
1162,98,81,NA
1163,97,81,NA
1164,98,81,NA
1165,97,81,NA
1166,98,81,NA
1167,97,81,NA
1168,98,81,NA
1169,97,81,NA
1170,98,81,NA
1171,97,81,NA
1172,98,81,NA
1173,97,81,NA
1174,98,81,NA
1175,97,81,NA
1176,98,81,NA
1177,97,81,NA
1178,98,81,NA
1179,97,81,NA
1180,98,81,NA
1181,97,81,NA
1182,98,81,NA
1183,97,81,NA
1184,98,81,NA
1185,97,81,NA
1186,98,81,NA
1187,97,81,NA
1188,98,81,NA
1189,97,81,NA
1190,98,81,NA
1191,97,81,NA
1192,98,81,NA
1193,97,81,NA
1194,98,81,NA
1195,97,81,NA
1196,98,81,NA
1197,97,81,NA
1198,98,81,NA
1199,97,81,NA
1200,98,81,NA
1201,97,81,NA
1202,98,81,NA
1203,97,81,NA
1204,98,81,NA
1205,97,81,NA
1206,98,81,NA
1207,97,81,NA
1208,98,81,NA
1209,97,81,NA
1210,98,81,NA
1211,97,81,NA
1212,98,81,NA
1213,97,81,NA
1214,98,81,NA
1215,97,81,NA
1216,98,81,NA
1217,97,81,NA
1218,98,81,NA
1219,97,81,NA
1220,98,81,NA
1221,97,81,NA
1222,98,81,NA
1223,97,81,NA
1224,98,81,NA
1225,97,81,NA
1226,98,81,NA
1227,97,81,NA
1228,98,81,NA
1229,97,81,NA
1230,98,81,NA
1231,97,81,NA
1232,98,81,NA
1233,97,81,NA
1234,98,81,NA
1235,97,81,NA
1236,98,81,NA
1237,97,81,NA
1238,98,81,NA
1239,97,81,NA
1240,98,81,NA
1241,95,81,NA
1242,94,81,NA
1243,93,81,NA
1244,92,81,NA
1245,91,81,NA
1246,92,81,NA
1247,91,81,NA
1248,92,81,NA
1249,91,81,NA
1250,92,81,NA
1251,91,81,NA
1252,92,81,NA
1253,91,81,NA
1254,92,81,NA
1255,91,81,NA
1256,92,81,NA
1257,91,81,NA
1258,92,81,NA
1259,91,81,NA
1260,92,81,NA
1261,91,81,NA
1262,92,81,NA
1263,91,81,NA
1264,92,81,NA
1265,91,81,NA
1266,92,81,NA
1267,91,81,NA
1268,92,81,NA
1269,91,81,NA
1270,92,81,NA
1271,91,81,NA
1272,92,81,NA
1273,91,81,NA
1274,92,81,NA
1275,91,81,NA
1276,92,81,NA
1277,91,81,NA
1278,92,81,NA
1279,91,81,NA
1280,92,81,NA
1281,91,81,NA
1282,92,81,NA
1283,91,81,NA
1284,92,81,NA
1285,91,81,NA
1286,92,81,NA
1287,91,81,NA
1288,92,81,NA
1289,91,81,NA
1290,92,81,NA
1291,91,81,NA
1292,92,81,NA
1293,91,81,NA
1294,92,81,NA
1295,91,81,NA
1296,92,81,NA
1297,91,81,NA
1298,92,81,NA
1299,91,81,NA
1300,92,81,NA
1301,91,81,NA
1302,92,81,NA
1303,91,81,NA
1304,92,81,NA
1305,91,81,NA
1306,92,81,NA
1307,91,81,NA
1308,92,81,NA
1309,91,81,NA
1310,92,81,NA
1311,91,81,NA
1312,92,81,NA
1313,91,81,NA
1314,92,81,NA
1315,91,81,NA
1316,92,81,NA
1317,91,81,NA
1318,92,81,NA
1319,91,81,NA
1320,92,81,NA
1321,91,81,NA
1322,92,81,NA
1323,91,81,NA
1324,92,81,NA
1325,91,81,NA
1326,92,81,NA
1327,91,81,NA
1328,92,81,NA
1329,91,81,NA
1330,92,81,NA
1331,91,81,NA
1332,92,81,NA
1333,91,81,NA
1334,92,81,NA
1335,91,81,NA
1336,92,81,NA
1337,91,81,NA
1338,92,81,NA
1339,91,81,NA
1340,92,81,NA
1341,91,81,NA
1342,92,81,NA
1343,91,81,NA
1344,92,81,NA
1345,91,81,NA
1346,92,81,NA
1347,91,81,NA
1348,92,81,NA
1349,91,81,NA
1350,92,81,NA
1351,91,81,NA
1352,92,81,NA
1353,91,81,NA
1354,92,81,NA
1355,95,81,NA
1356,92,81,NA
1357,95,81,NA
1358,96,81,NA
1359,95,81,NA
1360,96,81,NA
1361,95,81,NA
1362,96,81,NA
1363,95,81,NA
1364,96,81,NA
1365,95,81,NA
1366,98,81,NA
1367,97,81,NA
1368,98,81,NA
1369,97,81,NA
1370,98,81,NA
1371,97,81,NA
1372,98,81,NA
1373,97,81,NA
1374,98,81,NA
1375,97,81,NA
1376,98,81,NA
1377,97,81,NA
1378,98,81,NA
1379,97,81,NA
1380,98,81,NA
1381,97,81,NA
1382,98,81,NA
1383,97,81,NA
1384,98,81,NA
1385,97,81,NA
1386,98,81,NA
1387,97,81,NA
1388,98,81,NA
1389,97,81,NA
1390,98,81,NA
1391,97,81,NA
1392,98,81,NA
1393,97,81,NA
1394,98,81,NA
1395,97,81,NA
1396,98,81,NA
1397,97,81,NA
1398,98,81,NA
1399,97,81,NA
1400,98,81,NA
1401,97,81,NA
1402,98,81,NA
1403,97,81,NA
1404,98,81,NA
1405,97,81,NA
1406,98,81,NA
1407,97,81,NA
1408,98,81,NA
1409,97,81,NA
1410,98,81,NA
1411,97,81,NA
